Benchmark,2SGA_min,TA-MA_min,JCGA_min,2SGA_mean,TA-MA_mean,JCGA_mean,2SGA_median,TA-MA_median,JCGA_median
mk01,50,43.0,58.0,62.6,49.86666666666667,66.4,61.0,49.5,66.5
mk02,43,39.0,51.0,50.3,43.5,59.5,51.0,43.0,59.0
mk03,244,238.0,296.0,264.06666666666666,263.0,382.3666666666667,264.5,262.5,384.0
mk04,76,72.0,104.0,92.16666666666667,82.83333333333333,117.5,93.0,83.0,117.0
mk05,201,187.0,274.0,221.33333333333334,206.93333333333334,298.1666666666667,221.0,207.0,298.5
mk06,105,108.0,208.0,115.66666666666667,125.63333333333334,249.73333333333332,116.0,124.0,251.0
mk07,227,204.0,288.0,246.13333333333333,221.9,326.6333333333333,247.0,223.0,327.5
mk08,544,541.0,841.0,595.3666666666667,580.2,1024.1,594.0,583.0,1020.0
mk09,396,409.0,826.0,450.26666666666665,447.6666666666667,950.4666666666667,453.0,443.0,943.5
mk10,345,340.0,553.0,367.26666666666665,369.53333333333336,653.2666666666667,363.5,368.0,652.5
01a,7440,2677.0,3370.0,7831.8,2805.866666666667,3851.9,7859.0,2802.0,3865.0
02a,7157,2652.0,3352.0,7744.4,2758.766666666667,3998.1666666666665,7760.5,2739.5,4006.0
03a,7413,2590.0,3495.0,7806.366666666667,2755.633333333333,4113.433333333333,7878.0,2752.0,4090.0
04a,7409,2626.0,3289.0,7771.8,2827.1666666666665,3975.766666666667,7775.0,2816.5,3932.5
05a,7105,2626.0,3174.0,7677.066666666667,2746.2,3785.7,7696.0,2744.0,3810.5
06a,7223,2543.0,3108.0,7773.366666666667,2714.8333333333335,3950.5333333333333,7852.5,2682.0,4025.5
07a,9621,2752.0,3653.0,10319.033333333333,2970.733333333333,4806.666666666667,10411.0,2972.5,4703.0
08a,9640,2698.0,3638.0,10368.5,2911.4666666666667,4828.1,10375.0,2919.5,4874.5
09a,9746,2734.0,4021.0,10501.866666666667,2919.733333333333,5290.966666666666,10518.5,2896.5,5410.0
10a,9605,2782.0,4060.0,10367.6,2974.233333333333,4970.133333333333,10415.5,2968.5,5005.5
